original,curated,curated_simplified,,
LCL_NAIVE - EFO_0000540 - immune system disease,LCL_NAIVE - EFO_0000540 - immune system disease,LCL_NAIVE - EFO_0000540 - immune system disease,,
LCL - Other,LCL - EFO_0000540 - immune system disease,LCL - EFO_0000540 - immune system disease,,
KIDNEY_CORTEX - EFO_0009690 - urinary system disease,KIDNEY_CORTEX - EFO_0009690 - urinary system disease,KIDNEY_CORTEX - EFO_0009690 - urinary system disease,,
Kidney_Cortex - EFO_0009690 - urinary system disease,Kidney_Cortex - EFO_0009690 - urinary system disease,Kidney_Cortex - EFO_0009690 - urinary system disease,,
IPSC - Other,IPSC - GO_0008150 - biological process,IPSC - GO_0008150 - biological process,,
ILEUM - EFO_0000319 - cardiovascular disease,ILEUM - EFO_0010282 - gastrointestinal disease,ILEUM - EFO_0010282 - gastrointestinal disease,,
HLC - Other,HLC - GO_0008150 - biological process,HLC - GO_0008150 - biological process,,
HIGH_GRADE_CARTILAGE_NAIVE - EFO_0005803 - hematologic disease,HIGH_GRADE_CARTILAGE_NAIVE - OTAR_0000006 - musculoskeletal or connective tissue disease,HIGH_GRADE_CARTILAGE_NAIVE - OTAR_0000006 - musculoskeletal or connective tissue disease,,
HEART_LEFT_VENTRICLE - EFO_0000319 - cardiovascular disease,HEART_LEFT_VENTRICLE - EFO_0000319 - cardiovascular disease,Heart_Left_Ventricle - EFO_0000319 - cardiovascular disease,,
Heart_Left_Ventricle - EFO_0000319 - cardiovascular disease,Heart_Left_Ventricle - EFO_0000319 - cardiovascular disease,Heart_Left_Ventricle - EFO_0000319 - cardiovascular disease,,
HEART_ATRIAL_APPENDAGE - EFO_0000319 - cardiovascular disease,HEART_ATRIAL_APPENDAGE - EFO_0000319 - cardiovascular disease,HEART_ATRIAL_APPENDAGE - EFO_0000319 - cardiovascular disease,,
Heart_Atrial_Appendage - EFO_0000319 - cardiovascular disease,Heart_Atrial_Appendage - EFO_0000319 - cardiovascular disease,Heart_Atrial_Appendage - EFO_0000319 - cardiovascular disease,,
FIBROBLAST - EFO_0005803 - hematologic disease,FIBROBLAST - OTAR_0000006 - musculoskeletal or connective tissue disease,FIBROBLAST - OTAR_0000006 - musculoskeletal or connective tissue disease,,
FAT - EFO_0000540 - immune system disease,FAT - OTAR_0000006 - musculoskeletal or connective tissue disease,FAT - OTAR_0000006 - musculoskeletal or connective tissue disease,,
ESOPHAGUS_MUSCULARIS - EFO_0000319 - cardiovascular disease,ESOPHAGUS_MUSCULARIS - EFO_0010282 - gastrointestinal disease,Esophagus_Muscularis - EFO_0010282 - gastrointestinal disease,,
Esophagus_Muscularis - EFO_0000319 - cardiovascular disease,Esophagus_Muscularis - EFO_0010282 - gastrointestinal disease,Esophagus_Muscularis - EFO_0010282 - gastrointestinal disease,,
ESOPHAGUS_MUCOSA - EFO_0010282 - gastrointestinal disease,ESOPHAGUS_MUCOSA - EFO_0010282 - gastrointestinal disease,Esophagus_Mucosa - EFO_0010282 - gastrointestinal disease,,
Esophagus_Mucosa - EFO_0000319 - cardiovascular disease,Esophagus_Mucosa - EFO_0010282 - gastrointestinal disease,Esophagus_Mucosa - EFO_0010282 - gastrointestinal disease,,
ESOPHAGUS_GEJ - EFO_0000319 - cardiovascular disease,ESOPHAGUS_GEJ - EFO_0010282 - gastrointestinal disease,Esophagus_Gastroesophageal_Junction - EFO_0010282 - gastrointestinal disease,,
Esophagus_Gastroesophageal_Junction - EFO_0000319 - cardiovascular disease,Esophagus_Gastroesophageal_Junction - EFO_0010282 - gastrointestinal disease,Esophagus_Gastroesophageal_Junction - EFO_0010282 - gastrointestinal disease,,
DLPFC_NAIVE - EFO_0000540 - immune system disease,DLPFC_NAIVE - EFO_0000618 - nervous system disease,DLPFC_NAIVE - EFO_0000618 - nervous system disease,,neuro dorsolateral prefrontal cortex
COLON_TRANSVERSE - EFO_0000319 - cardiovascular disease,COLON_TRANSVERSE - EFO_0010282 - gastrointestinal disease,Colon_Transverse - EFO_0010282 - gastrointestinal disease,,
Colon_Transverse - EFO_0000319 - cardiovascular disease,Colon_Transverse - EFO_0010282 - gastrointestinal disease,Colon_Transverse - EFO_0010282 - gastrointestinal disease,,
Colon_Sigmoid - EFO_0000319 - cardiovascular disease,Colon_Sigmoid - EFO_0010282 - gastrointestinal disease,Colon_Sigmoid - EFO_0010282 - gastrointestinal disease,,
COLON_SIGMOID - EFO_0000319 - cardiovascular disease,COLON_SIGMOID - EFO_0010282 - gastrointestinal disease,Colon_Sigmoid - EFO_0010282 - gastrointestinal disease,,
Cells_EBV-transformed_lymphocytes - EFO_0000540 - immune system disease,Cells_EBV-transformed_lymphocytes - EFO_0000540 - immune system disease,Cells_EBV-transformed_lymphocytes - EFO_0000540 - immune system disease,,
Cells_Cultured_fibroblasts - EFO_0005803 - hematologic disease,Cells_Cultured_fibroblasts - GO_0008150 - biological process,Cells_Cultured_fibroblasts - GO_0008150 - biological process,,
CD8_T-CELL_NAIVE - EFO_0000540 - immune system disease,CD8_T-CELL_NAIVE - EFO_0000540 - immune system disease,CD8_T-CELL_NAIVE - EFO_0000540 - immune system disease,,
CD8_T-CELL_ANTI-CD3-CD28 - EFO_0000540 - immune system disease,CD8_T-CELL_ANTI-CD3-CD28 - EFO_0000540 - immune system disease,CD8_T-CELL_ANTI-CD3-CD28 - EFO_0000540 - immune system disease,,
CD4_T-CELL_NAIVE - EFO_0000540 - immune system disease,CD4_T-CELL_NAIVE - EFO_0000540 - immune system disease,CD4_T-CELL_NAIVE - EFO_0000540 - immune system disease,,
CD4_T-CELL_ANTI-CD3-CD28 - EFO_0000540 - immune system disease,CD4_T-CELL_ANTI-CD3-CD28 - EFO_0000540 - immune system disease,CD4_T-CELL_ANTI-CD3-CD28 - EFO_0000540 - immune system disease,,
Breast_Mammary_Tissue - Other,Breast_Mammary_Tissue - OTAR_0000017 - reproductive system or breast disease,Breast_Mammary_Tissue - OTAR_0000017 - reproductive system or breast disease,,
BREAST - Other,BREAST - OTAR_0000017 - reproductive system or breast disease,BREAST - OTAR_0000017 - reproductive system or breast disease,,
Brain_Substantia_nigra - EFO_0000618 - nervous system disease,Brain_Substantia_nigra - EFO_0000618 - nervous system disease,Brain_Substantia_nigra - EFO_0000618 - nervous system disease,,
BRAIN_SUBSTANTIA_NIGRA - EFO_0000618 - nervous system disease,BRAIN_SUBSTANTIA_NIGRA - EFO_0000618 - nervous system disease,Brain_Substantia_nigra - EFO_0000618 - nervous system disease,,
Brain_Spinal_cord_cervical_c-1 - EFO_0000618 - nervous system disease,Brain_Spinal_cord_cervical_c-1 - EFO_0000618 - nervous system disease,Brain_Spinal_cord_cervical_c-1 - EFO_0000618 - nervous system disease,,
BRAIN_SPINAL_CORD - EFO_0000618 - nervous system disease,BRAIN_SPINAL_CORD - EFO_0000618 - nervous system disease,BRAIN_SPINAL_CORD - EFO_0000618 - nervous system disease,,
Brain_Putamen_basal_ganglia - EFO_0000618 - nervous system disease,Brain_Putamen_basal_ganglia - EFO_0000618 - nervous system disease,Brain_Putamen_basal_ganglia - EFO_0000618 - nervous system disease,,
BRAIN_PUTAMEN - EFO_0000618 - nervous system disease,BRAIN_PUTAMEN - EFO_0000618 - nervous system disease,BRAIN_PUTAMEN - EFO_0000618 - nervous system disease,,
Brain_Nucleus_accumbens_basal_ganglia - EFO_0000618 - nervous system disease,Brain_Nucleus_accumbens_basal_ganglia - EFO_0000618 - nervous system disease,Brain_Nucleus_accumbens_basal_ganglia - EFO_0000618 - nervous system disease,,
BRAIN_NUCLEUS_ACCUMBENS - EFO_0000618 - nervous system disease,BRAIN_NUCLEUS_ACCUMBENS - EFO_0000618 - nervous system disease,BRAIN_NUCLEUS_ACCUMBENS - EFO_0000618 - nervous system disease,,
BRAIN_NAIVE - EFO_0000618 - nervous system disease,BRAIN_NAIVE - EFO_0000618 - nervous system disease,BRAIN_NAIVE - EFO_0000618 - nervous system disease,,
BRAIN_HYPOTHALAMUS - EFO_0000618 - nervous system disease,BRAIN_HYPOTHALAMUS - EFO_0000618 - nervous system disease,Brain_Hypothalamus - EFO_0000618 - nervous system disease,,
Brain_Hypothalamus - EFO_0000618 - nervous system disease,Brain_Hypothalamus - EFO_0000618 - nervous system disease,Brain_Hypothalamus - EFO_0000618 - nervous system disease,,
Brain_Hippocampus - EFO_0000618 - nervous system disease,Brain_Hippocampus - EFO_0000618 - nervous system disease,Brain_Hippocampus - EFO_0000618 - nervous system disease,,
BRAIN_HIPPOCAMPUS - EFO_0000618 - nervous system disease,BRAIN_HIPPOCAMPUS - EFO_0000618 - nervous system disease,Brain_Hippocampus - EFO_0000618 - nervous system disease,,
Brain_Frontal_Cortex_BA9 - EFO_0000618 - nervous system disease,Brain_Frontal_Cortex_BA9 - EFO_0000618 - nervous system disease,Brain_Frontal_Cortex_BA9 - EFO_0000618 - nervous system disease,,
BRAIN_FRONTAL_CORTEX - EFO_0000618 - nervous system disease,BRAIN_FRONTAL_CORTEX - EFO_0000618 - nervous system disease,BRAIN_FRONTAL_CORTEX - EFO_0000618 - nervous system disease,,
BRAIN_CORTEX - EFO_0000618 - nervous system disease,BRAIN_CORTEX - EFO_0000618 - nervous system disease,Brain_Cortex - EFO_0000618 - nervous system disease,,
Brain_Cortex - EFO_0000618 - nervous system disease,Brain_Cortex - EFO_0000618 - nervous system disease,Brain_Cortex - EFO_0000618 - nervous system disease,,
BRAIN_CEREBELLUM - EFO_0000618 - nervous system disease,BRAIN_CEREBELLUM - EFO_0000618 - nervous system disease,Brain_Cerebellum - EFO_0000618 - nervous system disease,,
Brain_Cerebellum - EFO_0000618 - nervous system disease,Brain_Cerebellum - EFO_0000618 - nervous system disease,Brain_Cerebellum - EFO_0000618 - nervous system disease,,
Brain_Cerebellar_Hemisphere - EFO_0000618 - nervous system disease,Brain_Cerebellar_Hemisphere - EFO_0000618 - nervous system disease,Brain_Cerebellar_Hemisphere - EFO_0000618 - nervous system disease,,
BRAIN_CEREBELLAR_HEMISPHERE - EFO_0000618 - nervous system disease,BRAIN_CEREBELLAR_HEMISPHERE - EFO_0000618 - nervous system disease,Brain_Cerebellar_Hemisphere - EFO_0000618 - nervous system disease,,
Brain_Caudate_basal_ganglia - EFO_0000618 - nervous system disease,Brain_Caudate_basal_ganglia - EFO_0000618 - nervous system disease,Brain_Caudate_basal_ganglia - EFO_0000618 - nervous system disease,,
BRAIN_CAUDATE - EFO_0000618 - nervous system disease,BRAIN_CAUDATE - EFO_0000618 - nervous system disease,BRAIN_CAUDATE - EFO_0000618 - nervous system disease,,
Brain_Anterior_cingulate_cortex_BA24 - EFO_0000618 - nervous system disease,Brain_Anterior_cingulate_cortex_BA24 - EFO_0000618 - nervous system disease,Brain_Anterior_cingulate_cortex_BA24 - EFO_0000618 - nervous system disease,,
BRAIN_ANTERIOR_CINGULATE_CORTEX - EFO_0000618 - nervous system disease,BRAIN_ANTERIOR_CINGULATE_CORTEX - EFO_0000618 - nervous system disease,Brain_Anterior_cingulate_cortex_BA24 - EFO_0000618 - nervous system disease,,
BRAIN_AMYGDALA - EFO_0000618 - nervous system disease,BRAIN_AMYGDALA - EFO_0000618 - nervous system disease,Brain_Amygdala - EFO_0000618 - nervous system disease,,
Brain_Amygdala - EFO_0000618 - nervous system disease,Brain_Amygdala - EFO_0000618 - nervous system disease,Brain_Amygdala - EFO_0000618 - nervous system disease,,
BRAIN - EFO_0000618 - nervous system disease,BRAIN - EFO_0000618 - nervous system disease,BRAIN - EFO_0000618 - nervous system disease,,
BLOOD - EFO_0005803 - hematologic disease,BLOOD - EFO_0005803 - hematologic disease,BLOOD - EFO_0005803 - hematologic disease,,
B-CELL_NAIVE - EFO_0000540 - immune system disease,B-CELL_NAIVE - EFO_0000540 - immune system disease,B-CELL_NAIVE - EFO_0000540 - immune system disease,,
B-CELL_CD19 - EFO_0000540 - immune system disease,B-CELL_CD19 - EFO_0000540 - immune system disease,B-CELL_CD19 - EFO_0000540 - immune system disease,,
Artery_Tibial - EFO_0000319 - cardiovascular disease,Artery_Tibial - EFO_0000319 - cardiovascular disease,Artery_Tibial - EFO_0000319 - cardiovascular disease,,
ARTERY_TIBIAL - EFO_0000319 - cardiovascular disease,ARTERY_TIBIAL - EFO_0000319 - cardiovascular disease,Artery_Tibial - EFO_0000319 - cardiovascular disease,,
ARTERY_CORONARY - EFO_0000319 - cardiovascular disease,ARTERY_CORONARY - EFO_0000319 - cardiovascular disease,Artery_Coronary - EFO_0000319 - cardiovascular disease,,
Artery_Coronary - EFO_0000319 - cardiovascular disease,Artery_Coronary - EFO_0000319 - cardiovascular disease,Artery_Coronary - EFO_0000319 - cardiovascular disease,,
Artery_Aorta - EFO_0000319 - cardiovascular disease,Artery_Aorta - EFO_0000319 - cardiovascular disease,Artery_Aorta - EFO_0000319 - cardiovascular disease,,
ARTERY_AORTA - EFO_0000319 - cardiovascular disease,ARTERY_AORTA - EFO_0000319 - cardiovascular disease,Artery_Aorta - EFO_0000319 - cardiovascular disease,,
ADRENAL_GLAND - EFO_0001379 - endocrine system disease,ADRENAL_GLAND - EFO_0001379 - endocrine system disease,Adrenal_Gland - EFO_0001379 - endocrine system disease,,
Adrenal_Gland - EFO_0001379 - endocrine system disease,Adrenal_Gland - EFO_0001379 - endocrine system disease,Adrenal_Gland - EFO_0001379 - endocrine system disease,,
Adipose_Visceral_Omentum - EFO_0000540 - immune system disease,Adipose_Visceral_Omentum - OTAR_0000006 - musculoskeletal or connective tissue disease,Adipose_Visceral_Omentum - OTAR_0000006 - musculoskeletal or connective tissue disease,,
ADIPOSE_VISCERAL - EFO_0000540 - immune system disease,ADIPOSE_VISCERAL - OTAR_0000006 - musculoskeletal or connective tissue disease,ADIPOSE_VISCERAL - OTAR_0000006 - musculoskeletal or connective tissue disease,,
Adipose_Subcutaneous - EFO_0000540 - immune system disease,Adipose_Subcutaneous - OTAR_0000006 - musculoskeletal or connective tissue disease,Adipose_Subcutaneous - OTAR_0000006 - musculoskeletal or connective tissue disease,,
ADIPOSE_SUBCUTANEOUS - EFO_0000540 - immune system disease,ADIPOSE_SUBCUTANEOUS - OTAR_0000006 - musculoskeletal or connective tissue disease,Adipose_Subcutaneous - OTAR_0000006 - musculoskeletal or connective tissue disease,,
ADIPOSE_NAIVE - EFO_0000540 - immune system disease,ADIPOSE_NAIVE - OTAR_0000006 - musculoskeletal or connective tissue disease,ADIPOSE_NAIVE - OTAR_0000006 - musculoskeletal or connective tissue disease,,